Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
Survived,2,female,8,0,2,26.25,S
Perished,2,male,19,0,0,10.5,S
Perished,2,male,33,0,0,12.275,S
Perished,3,female,,1,0,14.4542,C
Survived,3,female,,1,0,15.5,Q
Perished,2,male,29,0,0,10.5,S
Perished,3,male,22,0,0,7.125,S
Perished,3,male,30,0,0,7.225,C
Perished,1,male,44,2,0,90,Q
Perished,3,female,25,0,0,7.775,S
Survived,2,female,24,0,2,14.5,S
Survived,1,male,37,1,1,52.5542,S
Perished,2,male,54,1,0,26,S
Perished,3,male,,0,0,7.25,S
Perished,3,female,29,1,1,10.4625,S
Perished,1,male,62,0,0,26.55,S
Perished,3,male,30,1,0,16.1,S
Perished,3,female,41,0,2,20.2125,S
Survived,3,female,29,0,2,15.2458,C
Survived,1,female,,0,0,79.2,C
Survived,1,female,30,0,0,86.5,S
Survived,1,female,35,0,0,512.3292,C
Survived,2,female,50,0,1,26,S
Perished,3,male,,0,0,7.75,Q
Survived,3,male,3,4,2,31.3875,S
Perished,1,male,52,1,1,79.65,S
Perished,1,male,40,0,0,0,S
Perished,3,female,,0,0,7.75,Q
Perished,2,male,36,0,0,10.5,S
Perished,3,male,16,4,1,39.6875,S
Survived,3,male,25,1,0,7.775,S
Survived,1,female,58,0,1,153.4625,S
Survived,1,female,35,0,0,135.6333,S
Perished,1,male,,0,0,31,S
Survived,3,male,25,0,0,0,S
Survived,2,female,41,0,1,19.5,S
Perished,1,male,37,0,1,29.7,C
Survived,3,female,,0,0,7.75,Q
Survived,1,female,63,1,0,77.9583,S
Perished,3,female,45,0,0,7.75,S
Perished,2,male,,0,0,0,S
Perished,3,male,7,4,1,29.125,Q
Survived,3,female,35,1,1,20.25,S
Perished,3,male,65,0,0,7.75,Q
Perished,3,male,28,0,0,7.8542,S
Perished,3,male,16,0,0,9.5,S
Survived,3,male,19,0,0,8.05,S
Perished,1,male,,0,0,26,S
Perished,3,male,33,0,0,8.6625,C
Survived,3,male,30,0,0,9.5,S
Perished,3,male,22,0,0,7.8958,S
Survived,2,male,42,0,0,13,S
Survived,3,female,22,0,0,7.75,Q
Survived,1,female,26,0,0,78.85,S
Survived,1,female,19,1,0,91.0792,C
Perished,2,male,36,0,0,12.875,C
Perished,3,female,24,0,0,8.85,S
Perished,3,male,24,0,0,7.8958,S
Perished,1,male,,0,0,27.7208,C
Perished,3,male,23.5,0,0,7.2292,C
Perished,1,female,2,1,2,151.55,S
Survived,1,male,,0,0,30.5,S
Survived,1,female,50,0,1,247.5208,C
Survived,3,female,,0,0,7.75,Q
Survived,3,male,,2,0,23.25,Q
Perished,3,male,19,0,0,0,S
Survived,2,female,,0,0,12.35,Q
Perished,3,male,,0,0,8.05,S
Survived,1,male,0.92,1,2,151.55,S
Survived,1,female,,0,0,110.8833,C
Survived,1,female,17,1,0,108.9,C
Perished,2,male,30,1,0,24,C
Survived,1,female,30,0,0,56.9292,C
Survived,1,female,24,0,0,83.1583,C
Survived,1,female,18,2,2,262.375,C
Perished,2,female,26,1,1,26,S
Perished,3,male,28,0,0,7.8958,S
Perished,2,male,43,1,1,26.25,S
Survived,3,female,26,0,0,7.8542,S
Survived,2,female,24,1,0,26,S
Perished,2,male,54,0,0,14,S
Survived,1,female,31,0,2,164.8667,S
Survived,1,female,40,1,1,134.5,C
Perished,3,male,22,0,0,7.25,S
Perished,3,male,27,0,0,7.8958,S
Survived,2,female,30,0,0,12.35,Q
Survived,2,female,22,1,1,29,S
Perished,3,male,,8,2,69.55,S
Survived,1,female,36,0,0,135.6333,C
Perished,3,male,61,0,0,6.2375,S
Survived,2,female,36,0,0,13,S
Survived,3,female,31,1,1,20.525,S
Survived,1,female,16,0,1,57.9792,C
Survived,3,female,,2,0,23.25,Q
Perished,1,male,45.5,0,0,28.5,S
Perished,1,male,38,0,1,153.4625,S
Perished,3,male,16,2,0,18,S
Survived,1,female,,1,0,133.65,S
Perished,3,male,,0,0,7.8958,S
Perished,1,male,29,1,0,66.6,S
Survived,1,female,41,0,0,134.5,C
Survived,3,male,45,0,0,8.05,S
Perished,1,male,45,0,0,35.5,S
Survived,2,male,2,1,1,26,S
Survived,1,female,24,3,2,263,S
Perished,2,male,28,0,0,13,S
Perished,2,male,25,0,0,13,S
Perished,2,male,36,0,0,13,S
Survived,2,female,24,0,0,13,S
Survived,2,female,40,0,0,13,S
Survived,3,female,,1,0,16.1,S
Survived,3,male,3,1,1,15.9,S
Perished,3,male,42,0,0,8.6625,S
Perished,3,male,23,0,0,9.225,S
Perished,1,male,,0,0,35,S
Perished,3,male,15,1,1,7.2292,C
Perished,3,male,25,1,0,17.8,S
Perished,3,male,,0,0,7.225,C
Perished,3,male,28,0,0,9.5,S
Survived,1,female,22,0,1,55,S
Perished,2,female,38,0,0,13,S
Survived,3,female,,0,0,7.8792,Q
Survived,3,female,,0,0,7.8792,Q
Perished,3,male,40,1,4,27.9,S
Perished,2,male,29,1,0,27.7208,C
Perished,3,female,45,0,1,14.4542,C
Perished,3,male,35,0,0,7.05,S
Perished,3,male,,1,0,15.5,Q
Perished,3,male,30,0,0,7.25,S
Survived,1,female,60,1,0,75.25,C
Survived,3,female,,0,0,7.2292,C
Survived,3,female,,0,0,7.75,Q
Survived,1,female,24,0,0,69.3,C
Survived,1,male,25,1,0,55.4417,C
Perished,3,male,18,1,0,6.4958,S
Perished,3,male,19,0,0,8.05,S
Perished,1,male,22,0,0,135.6333,C
Perished,3,female,3,3,1,21.075,S
Survived,1,female,,1,0,82.1708,C
Survived,3,female,22,0,0,7.25,S
Perished,1,male,27,0,2,211.5,C
Perished,3,male,20,0,0,4.0125,C
Perished,3,male,19,0,0,7.775,S
Survived,1,female,42,0,0,227.525,C
Survived,3,female,1,0,2,15.7417,C
Perished,3,male,32,0,0,7.925,S
Survived,1,female,35,1,0,52,S
Perished,3,male,,0,0,7.8958,S
Perished,2,male,18,0,0,73.5,S
Perished,3,male,1,5,2,46.9,S
Survived,2,female,36,0,0,13,S
Perished,3,male,,0,0,7.7292,Q
Survived,2,female,17,0,0,12,C
Survived,1,male,36,1,2,120,S
Survived,3,male,21,0,0,7.7958,S
Perished,3,male,28,2,0,7.925,S
Survived,1,female,23,1,0,113.275,C
Survived,3,female,24,0,2,16.7,S
Perished,3,male,22,0,0,7.7958,S
Perished,3,female,31,0,0,7.8542,S
Perished,2,male,46,0,0,26,S
Perished,2,male,23,0,0,10.5,S
Survived,2,female,28,0,0,12.65,S
Survived,3,male,39,0,0,7.925,S
Perished,3,male,26,0,0,8.05,S
Perished,3,female,21,1,0,9.825,S
Perished,3,male,28,1,0,15.85,S
Perished,3,female,20,0,0,8.6625,S
Perished,2,male,34,1,0,21,S
Perished,3,male,51,0,0,7.75,S
Survived,2,male,3,1,1,18.75,S
Perished,3,male,21,0,0,7.775,S
Perished,3,female,,3,1,25.4667,S
Perished,3,male,,0,0,7.8958,S
Perished,3,male,,0,0,6.8583,Q
Survived,1,female,33,1,0,90,Q
Perished,2,male,,0,0,0,S
Survived,3,male,44,0,0,7.925,S
Perished,3,female,,0,0,8.05,S
Survived,2,female,34,1,1,32.5,S
Survived,2,female,18,0,2,13,S
Perished,2,male,30,0,0,13,S
Perished,3,female,10,0,2,24.15,S
Perished,3,male,,0,0,7.8958,C
Perished,3,male,21,0,0,7.7333,Q
Perished,3,male,29,0,0,7.875,S
Perished,3,female,28,1,1,14.4,S
Perished,3,male,18,1,1,20.2125,S
Perished,3,male,,0,0,7.25,S
Survived,2,female,28,1,0,26,S
Survived,2,female,19,0,0,26,S
Perished,3,male,,0,0,7.75,Q
Survived,3,male,32,0,0,8.05,S
Survived,1,male,28,0,0,26.55,S
Survived,3,female,,1,0,16.1,S
Survived,2,female,42,1,0,26,S
Perished,3,male,17,0,0,7.125,S
Perished,1,male,50,1,0,55.9,S
Survived,1,female,14,1,2,120,S
Perished,3,female,21,2,2,34.375,S
Survived,2,female,24,2,3,18.75,S
Perished,1,male,64,1,4,263,S
Perished,2,male,31,0,0,10.5,S
Survived,2,female,45,1,1,26.25,S
Perished,3,male,20,0,0,9.5,S
Perished,3,male,25,1,0,7.775,S
Survived,2,female,28,0,0,13,S
Survived,3,male,,0,0,8.1125,S
Survived,1,male,4,0,2,81.8583,S
Survived,2,female,13,0,1,19.5,S
Survived,1,male,34,0,0,26.55,S
Survived,3,female,5,2,1,19.2583,C
Survived,1,male,52,0,0,30.5,S
Perished,2,male,36,1,2,27.75,S
Perished,3,male,,1,0,19.9667,S
Perished,1,male,30,0,0,27.75,C
Survived,1,male,49,1,0,89.1042,C
Perished,3,male,,0,0,8.05,S
Survived,3,male,29,0,0,7.8958,C
Perished,1,male,65,0,0,26.55,S
Survived,1,female,,1,0,51.8625,S
Survived,2,female,50,0,0,10.5,S
Perished,3,male,,0,0,7.75,Q
Survived,1,male,48,0,0,26.55,S
Perished,3,male,34,0,0,8.05,S
Perished,1,male,47,0,0,38.5,S
Perished,2,male,48,0,0,13,S
Perished,3,male,,0,0,8.05,S
Perished,3,male,38,0,0,7.05,S
Perished,2,male,,0,0,0,S
Perished,1,male,56,0,0,26.55,S
Perished,3,male,,0,0,7.725,Q
Survived,3,female,0.75,2,1,19.2583,C
Perished,3,male,,0,0,7.25,S
Perished,3,male,38,0,0,8.6625,S
Survived,2,female,33,1,2,27.75,S
Survived,2,female,23,0,0,13.7917,C
Perished,3,female,22,0,0,9.8375,S
Perished,1,male,,0,0,52,S
Perished,2,male,34,1,0,21,S
Perished,3,male,29,1,0,7.0458,S
Perished,3,male,22,0,0,7.5208,S
Survived,3,female,2,0,1,12.2875,S
Perished,3,male,9,5,2,46.9,S
Perished,2,male,,0,0,0,S
Perished,3,male,50,0,0,8.05,S
Survived,3,female,63,0,0,9.5875,S
Survived,1,male,25,1,0,91.0792,C
Perished,3,female,,3,1,25.4667,S
Survived,1,female,35,1,0,90,S
Perished,1,male,58,0,0,29.7,C
Perished,3,male,30,0,0,8.05,S
Survived,3,male,9,1,1,15.9,S
Perished,3,male,,1,0,19.9667,S
Perished,3,male,21,0,0,7.25,S
Perished,1,male,55,0,0,30.5,S
Perished,1,male,71,0,0,49.5042,C
Perished,3,male,21,0,0,8.05,S
Perished,3,male,,0,0,14.4583,C
Survived,1,female,54,1,0,78.2667,C
Perished,3,male,,0,0,15.1,S
Perished,1,female,25,1,2,151.55,S
Perished,3,male,24,0,0,7.7958,S
Perished,3,male,17,0,0,8.6625,S
Perished,3,female,21,0,0,7.75,Q
Perished,3,female,,0,0,7.6292,Q
Perished,3,female,37,0,0,9.5875,S
Survived,1,female,16,0,0,86.5,S
Perished,1,male,18,1,0,108.9,C
Survived,2,female,33,0,2,26,S
Survived,1,male,,0,0,26.55,S
Perished,3,male,28,0,0,22.525,S
Survived,3,male,26,0,0,56.4958,S
Survived,3,male,29,0,0,7.75,Q
Perished,3,male,,0,0,8.05,S
Survived,1,male,36,0,0,26.2875,S
Survived,1,female,54,1,0,59.4,C
Perished,3,male,24,0,0,7.4958,S
Perished,1,male,47,0,0,34.0208,S
Survived,2,female,34,0,0,10.5,S
Perished,3,male,,0,0,24.15,Q
Survived,2,female,36,1,0,26,S
Perished,3,male,32,0,0,7.8958,S
Survived,1,female,30,0,0,93.5,S
Perished,3,male,22,0,0,7.8958,S
Perished,3,male,,0,0,7.225,C
Survived,1,female,44,0,1,57.9792,C
Perished,3,male,,0,0,7.2292,C
Perished,3,male,40.5,0,0,7.75,Q
Survived,2,female,50,0,0,10.5,S
Perished,1,male,,0,0,221.7792,S
Perished,3,male,39,0,0,7.925,S
Perished,2,male,23,2,1,11.5,S
Survived,2,female,2,1,1,26,S
Perished,3,male,,0,0,7.2292,C
Perished,3,male,17,1,1,7.2292,C
Survived,3,female,,0,2,22.3583,C
Perished,3,female,30,0,0,8.6625,S
Survived,2,female,7,0,2,26.25,S
Perished,1,male,45,0,0,26.55,S
Survived,1,female,30,0,0,106.425,C
Perished,3,male,,0,0,14.5,S
Survived,1,female,22,0,2,49.5,C
Survived,1,female,36,0,2,71,S
Perished,3,female,9,4,2,31.275,S
Perished,3,female,11,4,2,31.275,S
Survived,2,male,32,1,0,26,S
Perished,1,male,50,1,0,106.425,C
Perished,1,male,64,0,0,26,S
Survived,2,female,19,1,0,26,S
Survived,2,male,,0,0,13.8625,C
Perished,3,male,33,1,1,20.525,S
Survived,2,male,8,1,1,36.75,S
Survived,1,male,17,0,2,110.8833,C
Perished,2,male,27,0,0,26,S
Perished,3,male,,0,0,7.8292,Q
Survived,3,male,22,0,0,7.225,C
Survived,3,female,22,0,0,7.775,S
Perished,1,male,62,0,0,26.55,S
Survived,1,female,48,1,0,39.6,C
Perished,1,male,,0,0,227.525,C
Survived,1,female,39,1,1,79.65,S
Survived,3,female,36,1,0,17.4,S
Perished,3,male,,0,0,7.75,Q
Perished,3,male,40,0,0,7.8958,S
Perished,2,male,28,0,0,13.5,S
Perished,3,male,,0,0,8.05,S
Perished,3,female,,0,0,8.05,S
Perished,3,male,24,2,0,24.15,S
Perished,3,male,19,0,0,7.8958,S
Perished,3,female,29,0,4,21.075,S
Perished,3,male,,0,0,7.2292,C
Survived,3,male,32,0,0,7.8542,S
Survived,2,male,62,0,0,10.5,S
Survived,1,female,53,2,0,51.4792,S
Survived,1,male,36,0,0,26.3875,S
Survived,3,female,,0,0,7.75,Q
Perished,3,male,16,0,0,8.05,S
Perished,3,male,19,0,0,14.5,S
Survived,2,female,34,0,0,13,S
Survived,1,female,39,1,0,55.9,S
Perished,3,female,,1,0,14.4583,C
Survived,3,male,32,0,0,7.925,S
Survived,2,female,25,1,1,30,S
Survived,1,female,39,1,1,110.8833,C
Perished,2,male,54,0,0,26,S
Perished,1,male,36,0,0,40.125,C
Perished,3,male,,0,0,8.7125,C
Survived,1,female,18,0,2,79.65,S
Perished,2,male,47,0,0,15,S
Survived,1,male,60,1,1,79.2,C
Perished,3,male,22,0,0,8.05,S
Perished,3,male,,0,0,8.05,S
Perished,3,male,35,0,0,7.125,S
Survived,1,female,52,1,0,78.2667,C
Perished,3,male,47,0,0,7.25,S
Perished,3,female,,0,2,7.75,Q
Perished,2,male,37,1,0,26,S
Perished,3,male,36,1,1,24.15,S
Survived,2,female,,0,0,33,S
Perished,3,male,49,0,0,0,S
Perished,3,male,,0,0,7.225,C
Survived,1,male,49,1,0,56.9292,C
Survived,2,female,24,2,1,27,S
Perished,3,male,,0,0,7.8958,S
Perished,1,male,,0,0,42.4,S
Perished,3,male,44,0,0,8.05,S
Survived,1,male,35,0,0,26.55,C
Perished,3,male,36,1,0,15.55,S
Perished,3,male,30,0,0,7.8958,S
Survived,1,male,27,0,0,30.5,S
Survived,2,female,22,1,2,41.5792,C
Survived,1,female,40,0,0,153.4625,S
Perished,3,female,39,1,5,31.275,S
Perished,3,male,,0,0,7.05,S
Survived,3,female,,1,0,15.5,Q
Perished,3,male,,0,0,7.75,Q
Perished,3,male,35,0,0,8.05,S
Survived,2,female,24,1,2,65,S
Perished,3,male,34,1,1,14.4,S
Perished,3,female,26,1,0,16.1,S
Survived,2,female,4,2,1,39,S
Perished,2,male,26,0,0,10.5,S
Perished,3,male,27,1,0,14.4542,C
Survived,1,male,42,1,0,52.5542,S
Survived,3,male,20,1,1,15.7417,C
Perished,3,male,21,0,0,7.8542,S
Perished,3,male,21,0,0,16.1,S
Perished,1,male,61,0,0,32.3208,S
Perished,2,male,57,0,0,12.35,Q
Survived,1,female,21,0,0,77.9583,S
Perished,3,male,26,0,0,7.8958,S
Perished,3,male,,0,0,7.7333,Q
Survived,1,male,80,0,0,30,S
Perished,3,male,51,0,0,7.0542,S
Survived,1,male,32,0,0,30.5,C
Perished,1,male,,0,0,0,S
Perished,3,female,9,3,2,27.9,S
Survived,2,female,28,0,0,13,S
Perished,3,male,32,0,0,7.925,S
Perished,2,male,31,1,1,26.25,S
Perished,3,female,41,0,5,39.6875,S
Perished,3,male,,1,0,16.1,S
Perished,3,male,20,0,0,7.8542,S
Survived,1,female,24,0,0,69.3,C
Perished,3,female,2,3,2,27.9,S
Survived,3,male,,0,0,56.4958,S
Survived,3,female,0.75,2,1,19.2583,C
Survived,1,male,48,1,0,76.7292,C
Perished,3,male,19,0,0,7.8958,S
Survived,1,male,56,0,0,35.5,C
Perished,3,male,,0,0,7.55,S
Survived,3,female,23,0,0,7.55,S
Perished,3,male,,0,0,7.8958,S
Survived,2,female,18,0,1,23,S
Perished,3,male,21,0,0,8.4333,S
Survived,3,female,,0,0,7.8292,Q
Perished,3,female,18,0,0,6.75,Q
Perished,2,male,24,2,0,73.5,S
Perished,3,male,,0,0,7.8958,S
Perished,3,female,32,1,1,15.5,Q
Perished,2,male,23,0,0,13,S
Perished,1,male,58,0,2,113.275,C
Survived,1,male,50,2,0,133.65,S
Perished,3,male,40,0,0,7.225,C
Perished,1,male,47,0,0,25.5875,S
Perished,3,male,36,0,0,7.4958,S
Survived,3,male,20,1,0,7.925,S
Perished,2,male,32,2,0,73.5,S
Perished,2,male,25,0,0,13,S
Perished,3,male,,0,0,7.775,S
Perished,3,male,43,0,0,8.05,S
Survived,1,female,,1,0,52,S
Survived,2,female,40,1,1,39,S
Perished,1,male,31,1,0,52,S
Perished,2,male,70,0,0,10.5,S
Survived,2,male,31,0,0,13,S
Perished,2,male,,0,0,0,S
Perished,3,male,18,0,0,7.775,S
Perished,3,male,24.5,0,0,8.05,S
Survived,3,female,18,0,0,9.8417,S
Perished,3,female,43,1,6,46.9,S
Survived,1,male,36,0,1,512.3292,C
Perished,3,female,,0,0,8.1375,Q
Survived,1,male,27,0,0,76.7292,C
Perished,3,male,20,0,0,9.225,S
Perished,3,male,14,5,2,46.9,S
Perished,2,male,60,1,1,39,S
Perished,2,male,25,1,2,41.5792,C
Perished,3,male,14,4,1,39.6875,S
Perished,3,male,19,0,0,10.1708,S
Perished,3,male,18,0,0,7.7958,S
Survived,1,female,15,0,1,211.3375,S
Survived,1,male,31,1,0,57,S
Survived,3,female,4,0,1,13.4167,C
Survived,3,male,,0,0,56.4958,S
Perished,3,male,25,0,0,7.225,C
Perished,1,male,60,0,0,26.55,S
Perished,2,male,52,0,0,13.5,S
Perished,3,male,44,0,0,8.05,S
Survived,3,female,,0,0,7.7333,Q
Perished,1,male,49,1,1,110.8833,C
